rank,loc,path,category,purpose,status
36,1264,tests/live-api/tools/sheets-advanced.live.test.ts,test,Live API tests for advanced operations,test
37,1258,src/mcp/elicitation.ts,source,MCP Elicitation (SEP-1036) user input collection,active
38,1246,src/handlers/data-actions/batch.ts,source,Batched read/write data operations,active
39,1222,src/handlers/data-actions/read-write.ts,source,Core read and write data operations,active
40,1210,src/config/env.ts,source,Environment variable validation and defaults (338 scripts companion),active
41,1203,tests/services/transaction-manager.test.ts,test,Transaction manager service tests,test
42,1185,tests/handlers/bigquery.test.ts,test,BigQuery handler tests,test
43,1181,src/resources/patterns.ts,source,MCP resource content patterns,active
44,1178,src/schemas/descriptions.ts,source,Full LLM-optimized tool descriptions,active
45,1176,tests/services/batching-system.test.ts,test,Batching system tests,test
46,1159,tests/simulation/cat11-error-recovery.test.ts,test,Error recovery simulation tests,test
47,1152,src/core/batch-compiler.ts,source,Batch compiler for batchUpdate requests,active
48,1145,tests/handlers/advanced.test.ts,test,Advanced handler tests,test
49,1133,tests/live-api/action-matrix.live.test.ts,test,Full action matrix live API tests,test
50,1129,tests/services/impact-analyzer.test.ts,test,Impact analyzer service tests,test
51,1103,src/analysis/suggestion-engine.ts,source,AI-powered suggestion engine for sheets,active
52,1100,src/mcp/registration/response-intelligence.ts,source,Response enhancement and hints,active
53,1091,src/adapters/excel-mutation-builders.ts,source,Excel Online mutation builder adapter,active
54,1090,tests/simulation/cat02-data-operations.test.ts,test,Data operations simulation,test
55,1076,src/schemas/collaborate.ts,source,Collaboration schema (41 actions; flat workaround for SDK bug),active
56,1069,src/utils/error-factory.ts,source,Typed error construction factory,active
57,1052,tests/simulation/cat08-agent-workflows.test.ts,test,Agent workflow simulation,test
58,1041,src/services/batching-system.ts,source,Request batching (50-100ms windows max 100 ops),active
59,1034,src/schemas/dimensions.ts,source,Row/column schema (30 actions),active
60,1023,src/services/agent/plan-executor.ts,source,Agent plan execution engine,active
61,1015,tests/e2e/mcp-client-simulator.ts,test,MCP client simulator for E2E,test
62,1013,src/resources/examples.ts,source,MCP resource example content,active
63,1005,tests/handlers/base.test.ts,test,BaseHandler abstract class tests,test
64,1005,src/analysis/confidence-scorer.ts,source,Analysis result confidence scoring,active
65,990,scripts/generate-sdks.ts,script,SDK generation for TypeScript/Python/Go,active
66,988,src/analysis/comprehensive.ts,source,Comprehensive analysis pipeline (43 features),active
67,981,scripts/auto-probe.ts,script,Automated API probe,script
68,979,scripts/generate-metadata.ts,script,Schema metadata generation (runs in schema:commit),active
69,976,src/services/webhook-manager.ts,source,Webhook lifecycle and event distribution,active
70,962,tests/handlers/dependencies.test.ts,test,Dependencies handler tests,test
71,959,src/analysis/flow-orchestrator.ts,source,Multi-step analysis pipeline orchestration,active
72,954,src/adapters/notion-backend.ts,source,Notion backend adapter scaffold (P3),scaffold
73,943,src/schemas/core.ts,source,Spreadsheet and sheet operations schema (21 actions),active
74,943,src/handlers/format-actions/conditional.ts,source,Conditional formatting actions,active
75,938,src/core/diff-engine.ts,source,3-tier diff engine (metadata/sample/full),active
76,938,src/adapters/airtable-backend.ts,source,Airtable backend adapter scaffold (P3),scaffold
77,929,tests/contracts/error-codes.test.ts,test,Error code contract tests (69 codes),test
78,926,scripts/crawl-docs-audit.ts,script,Documentation crawler and audit,script
79,921,src/utils/enhanced-errors.ts,source,Error enhancement and context wrapper,active
80,917,src/mcp/registration/resource-registration.ts,source,MCP resource URI templates and handlers,active
81,915,src/core/task-store.ts,source,MCP Tasks (SEP-1686) task store,active
82,913,src/utils/cache-manager.ts,source,Cache lifecycle management,active
83,902,tests/handlers/transaction.test.ts,test,Transaction handler tests,test
84,899,tests/simulation/cat10-compute-engine.test.ts,test,Compute engine simulation,test
85,894,src/handlers/format.ts,source,Format handler dispatcher,active
86,893,tests/services/validation-engine.test.ts,test,Validation engine tests,test
87,893,tests/services/session-context.test.ts,test,Session context tests,test
88,893,src/schemas/advanced.ts,source,Advanced features schema (31 actions),active
89,892,src/services/impact-analyzer.ts,source,Change impact analysis service,active
90,890,tests/handlers/analyze.test.ts,test,Analyze handler tests,test
91,888,tests/live-api/action-matrix-support.ts,test,Action matrix test support,test
92,887,tests/handlers/confirm.test.ts,test,Confirm handler tests (elicitation),test
93,885,src/schemas/appsscript.ts,source,Apps Script schema (19 actions),active
94,879,tests/handlers/history.test.ts,test,History handler tests,test
95,879,src/services/action-recommender/recommendation-rules.ts,source,Action recommendation rules engine,active
96,878,tests/contracts/schema-contracts.test.ts,test,Schema contract validation tests,test
97,874,tests/contracts/batch-format.test.ts,test,Batch operation format contract tests,test
98,873,src/handlers/format-actions/presets.ts,source,Format preset templates,active
99,865,src/schemas/session.ts,source,Session context schema (31 actions),active
100,863,tests/compliance/audit-logging.test.ts,test,Audit logging compliance tests,test
